                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83784,                 1.2912,                 1.4609,                0.67894,                0.66126,                0.64987,                0.57353,                 1.2321,                 2.5926,                 2.0107,               0.000376,               0.000376,               0.000376
                     36,                 0.5311,                0.88109,                 1.1158,                0.67894,                0.66126,                0.64987,                0.57353,                 1.2321,                 2.5926,                 2.0107,             0.00038128,             0.00038128,             0.00038128
                     37,                 1.0019,                 1.2045,                 1.4559,                0.93285,                0.66667,                0.84013,                0.63674,                 1.2889,                 2.0945,                 2.0774,             0.00038624,             0.00038624,             0.00038624
                     38,                 0.4843,                0.71486,                 1.1472,                0.93285,                0.66667,                0.84013,                0.63674,                 1.2889,                 2.0945,                 2.0774,             0.00039086,             0.00039086,             0.00039086
                     39,                0.54897,                 1.0963,                 1.1759,                0.63858,                 0.7106,                0.82091,                0.58126,                 1.4271,                 1.8684,                 2.0117,             0.00039515,             0.00039515,             0.00039515
                     40,                 0.5158,                0.81533,                 1.1168,                0.63858,                 0.7106,                0.82091,                0.58126,                 1.4271,                 1.8684,                 2.0117,             0.00039911,             0.00039911,             0.00039911
                     41,                0.72709,                 1.0169,                 1.3156,                0.97064,                0.60951,                0.87446,                0.51793,                 1.3793,                 2.2249,                 1.8178,             0.00040275,             0.00040275,             0.00040275
                     42,                 0.4788,                0.62773,                 1.0924,                0.97064,                0.60951,                0.87446,                0.51793,                 1.3793,                 2.2249,                 1.8178,             0.00040605,             0.00040605,             0.00040605
                     43,                0.67368,                   1.04,                 1.2169,                0.96959,                0.69717,                0.74773,                0.41491,                 1.6473,                 2.4218,                 1.9303,             0.00040902,             0.00040902,             0.00040902
                     44,                0.60438,                 0.9602,                   1.18,                0.96959,                0.69717,                0.74773,                0.41491,                 1.6473,                 2.4218,                 1.9303,             0.00041166,             0.00041166,             0.00041166
                     45,                0.52913,                0.94922,                 1.1602,                0.88995,                0.73755,                 0.7474,                0.47279,                 1.8565,                 2.3826,                 2.2354,             0.00041398,             0.00041398,             0.00041398
                     46,                0.67972,                0.88794,                  1.245,                0.88995,                0.73755,                 0.7474,                0.47279,                 1.8565,                 2.3826,                 2.2354,             0.00041596,             0.00041596,             0.00041596
                     47,                 0.6292,                0.95155,                 1.1652,                0.94557,                   0.75,                 0.8042,                0.62553,                  1.277,                 1.9951,                 1.7684,             0.00041761,             0.00041761,             0.00041761
                     48,                0.57349,                0.91851,                 1.2059,                0.94557,                   0.75,                 0.8042,                0.62553,                  1.277,                 1.9951,                 1.7684,             0.00041893,             0.00041893,             0.00041893
                     49,                  0.513,                0.88095,                 1.1201,                 0.9722,                   0.75,                0.83696,                0.60453,                 1.2367,                 2.1552,                 1.6993,             0.00041992,             0.00041992,             0.00041992
                     50,                 0.4603,                0.87649,                 1.1215,                 0.9722,                   0.75,                0.83696,                0.60453,                 1.2367,                 2.1552,                 1.6993,             0.00042059,             0.00042059,             0.00042059
                     51,                0.55375,                0.68984,                 1.1524,                0.95253,                   0.75,                0.87792,                0.61732,                 1.3083,                 2.2703,                   1.82,             0.00042092,             0.00042092,             0.00042092
                     52,                0.64982,                0.83921,                 1.2336,                0.95253,                   0.75,                0.87792,                0.61732,                 1.3083,                 2.2703,                   1.82,             0.00042092,             0.00042092,             0.00042092
                     53,                0.41083,                0.52058,                 1.0373,                0.95253,                   0.75,                0.87792,                0.61732,                 1.3083,                 2.2703,                   1.82,             0.00042059,             0.00042059,             0.00042059
                     54,                0.61584,                 1.0702,                 1.1326,                0.95575,                   0.75,                0.81456,                0.59146,                  1.307,                 2.2844,                 1.8552,             0.00041993,             0.00041993,             0.00041993
                     55,                0.68708,                0.73387,                 1.2208,                0.95575,                   0.75,                0.81456,                0.59146,                  1.307,                 2.2844,                 1.8552,             0.00041894,             0.00041894,             0.00041894
                     56,                0.60295,                0.67145,                 1.2039,                0.95575,                   0.75,                0.81456,                0.59146,                  1.307,                 2.2844,                 1.8552,             0.00041763,             0.00041763,             0.00041763
                     57,                0.57974,                  1.328,                 1.2588,                0.95796,                   0.75,                0.85296,                0.64777,                 1.1219,                 1.7652,                 1.7652,             0.00041598,             0.00041598,             0.00041598
                     58,                0.53518,                0.68933,                 1.0126,                0.95796,                   0.75,                0.85296,                0.64777,                 1.1219,                 1.7652,                 1.7652,               0.000414,               0.000414,               0.000414
                     59,                0.47588,                0.75691,                 1.0786,                0.95796,                   0.75,                0.85296,                0.64777,                 1.1219,                 1.7652,                 1.7652,             0.00041169,             0.00041169,             0.00041169
                     60,                0.76166,                0.90846,                 1.2165,                0.90785,                0.68685,                  0.929,                0.57694,                 1.1935,                 1.7809,                 1.7297,             0.00040905,             0.00040905,             0.00040905
                     61,                0.56828,                0.74568,                 1.1131,                0.90785,                0.68685,                  0.929,                0.57694,                 1.1935,                 1.7809,                 1.7297,             0.00040608,             0.00040608,             0.00040608
                     62,                0.74844,                0.99774,                 1.2925,                0.90785,                0.68685,                  0.929,                0.57694,                 1.1935,                 1.7809,                 1.7297,             0.00040278,             0.00040278,             0.00040278
                     63,                0.72171,                 1.0267,                  1.217,                0.92372,                   0.75,                0.87719,                0.38888,                 1.1855,                 1.7904,                 1.6743,             0.00039915,             0.00039915,             0.00039915
                     64,                0.60219,                0.95078,                 1.2007,                0.92372,                   0.75,                0.87719,                0.38888,                 1.1855,                 1.7904,                 1.6743,             0.00039519,             0.00039519,             0.00039519
                     65,                0.66723,                0.85729,                 1.1395,                0.92372,                   0.75,                0.87719,                0.38888,                 1.1855,                 1.7904,                 1.6743,              0.0003909,              0.0003909,              0.0003909
                     66,                0.69252,                0.89501,                 1.2692,                0.77788,                0.91667,                0.89342,                0.46014,                 1.2776,                 2.4658,                 1.8298,             0.00038629,             0.00038629,             0.00038629
                     67,                0.46825,                0.91656,                 1.1255,                0.77788,                0.91667,                0.89342,                0.46014,                 1.2776,                 2.4658,                 1.8298,             0.00038134,             0.00038134,             0.00038134
                     68,                0.65544,                 1.2728,                 1.2604,                0.77788,                0.91667,                0.89342,                0.46014,                 1.2776,                 2.4658,                 1.8298,             0.00037606,             0.00037606,             0.00037606
                     69,                0.73915,                0.99196,                 1.3736,                0.66159,                      1,                 0.9325,                0.71351,                 1.0941,                 2.6908,                 1.7586,             0.00037045,             0.00037045,             0.00037045
                     70,                0.53355,                0.74125,                 1.1648,                0.66159,                      1,                 0.9325,                0.71351,                 1.0941,                 2.6908,                 1.7586,             0.00036451,             0.00036451,             0.00036451
